fips,county,state,cbsa,cbsaname
01045,"Dale County, AL",AL,37120,"Ozark, AL"
01013,"Butler County, AL",AL,99999,NA
01109,"Pike County, AL",AL,45980,"Troy, AL"
01005,"Barbour County, AL",AL,21640,"Eufaula, AL-GA"
01041,"Crenshaw County, AL",AL,99999,NA
01111,"Randolph County, AL",AL,99999,NA
01027,"Clay County, AL",AL,99999,NA
01055,"Etowah County, AL",AL,23460,"Gadsden, AL"
01029,"Cleburne County, AL",AL,99999,NA
01015,"Calhoun County, AL",AL,11500,"Anniston-Oxford-Jacksonville, AL"
01083,"Limestone County, AL",AL,26620,"Huntsville, AL"
01043,"Cullman County, AL",AL,18980,"Cullman, AL"
01089,"Madison County, AL",AL,26620,"Huntsville, AL"
01033,"Colbert County, AL",AL,22520,"Florence-Muscle Shoals, AL"
01079,"Lawrence County, AL",AL,19460,"Decatur, AL"
01093,"Marion County, AL",AL,99999,NA
01133,"Winston County, AL",AL,99999,NA
01049,"DeKalb County, AL",AL,22840,"Fort Payne, AL"
01071,"Jackson County, AL",AL,42460,"Scottsboro, AL"
01131,"Wilcox County, AL",AL,99999,NA
01099,"Monroe County, AL",AL,99999,NA
01053,"Escambia County, AL",AL,12120,"Atmore, AL"
01097,"Mobile County, AL",AL,33660,"Mobile, AL"
01003,"Baldwin County, AL",AL,19300,"Daphne-Fairhope-Foley, AL"
01123,"Tallapoosa County, AL",AL,10760,"Alexander City, AL"
01087,"Macon County, AL",AL,99999,NA
01105,"Perry County, AL",AL,99999,NA
01085,"Lowndes County, AL",AL,33860,"Montgomery, AL"
01051,"Elmore County, AL",AL,33860,"Montgomery, AL"
01037,"Coosa County, AL",AL,45180,"Talladega-Sylacauga, AL"
01047,"Dallas County, AL",AL,42820,"Selma, AL"
01001,"Autauga County, AL",AL,33860,"Montgomery, AL"
01011,"Bullock County, AL",AL,99999,NA
01119,"Sumter County, AL",AL,99999,NA
01075,"Lamar County, AL",AL,99999,NA
01009,"Blount County, AL",AL,13820,"Birmingham-Hoover, AL"
01127,"Walker County, AL",AL,13820,"Birmingham-Hoover, AL"
01117,"Shelby County, AL",AL,13820,"Birmingham-Hoover, AL"
01073,"Jefferson County, AL",AL,13820,"Birmingham-Hoover, AL"
01115,"St. Clair County, AL",AL,13820,"Birmingham-Hoover, AL"
01031,"Coffee County, AL",AL,21460,"Enterprise, AL"
01061,"Geneva County, AL",AL,20020,"Dothan, AL"
01069,"Houston County, AL",AL,20020,"Dothan, AL"
01091,"Marengo County, AL",AL,99999,NA
01095,"Marshall County, AL",AL,10700,"Albertville, AL"
01101,"Montgomery County, AL",AL,33860,"Montgomery, AL"
01113,"Russell County, AL",AL,17980,"Columbus, GA-AL"
01107,"Pickens County, AL",AL,46220,"Tuscaloosa, AL"
01121,"Talladega County, AL",AL,45180,"Talladega-Sylacauga, AL"
01007,"Bibb County, AL",AL,13820,"Birmingham-Hoover, AL"
01081,"Lee County, AL",AL,12220,"Auburn-Opelika, AL"
01021,"Chilton County, AL",AL,13820,"Birmingham-Hoover, AL"
01039,"Covington County, AL",AL,99999,NA
01067,"Henry County, AL",AL,20020,"Dothan, AL"
01019,"Cherokee County, AL",AL,99999,NA
01059,"Franklin County, AL",AL,99999,NA
01077,"Lauderdale County, AL",AL,22520,"Florence-Muscle Shoals, AL"
01103,"Morgan County, AL",AL,19460,"Decatur, AL"
01129,"Washington County, AL",AL,99999,NA
01035,"Conecuh County, AL",AL,99999,NA
01023,"Choctaw County, AL",AL,99999,NA
01025,"Clarke County, AL",AL,99999,NA
01017,"Chambers County, AL",AL,46740,"Valley, AL"
01125,"Tuscaloosa County, AL",AL,46220,"Tuscaloosa, AL"
01057,"Fayette County, AL",AL,99999,NA
01065,"Hale County, AL",AL,46220,"Tuscaloosa, AL"
01063,"Greene County, AL",AL,99999,NA
